,furnishing,parking,bath,price,size,loc,sqft
0,Semi-Furnished,1,2,18000000,2,Andheri East Mumbai,682
1,Furnished,1,2,20000000,2,Andheri East Mumbai,670
2,Furnished,1,4,52500000,4,Andheri East Mumbai,1499
3,Semi-Furnished,1,1,9500000,1,Andheri East Mumbai,430
4,Unfurnished,1,3,27000000,3,Andheri East Mumbai,900
5,Furnished,1,2,23500000,2,Andheri East Mumbai,700
7,Semi-Furnished,1,2,17000000,2,Andheri East Mumbai,630
8,Furnished,1,2,13500000,1,Andheri East Mumbai,720
10,Unfurnished,1,2,13500000,1,Andheri East Mumbai,486
12,Unfurnished,1,2,18500000,2,Andheri East Mumbai,827
13,Furnished,1,2,18900000,2,Andheri East Mumbai,720
14,Semi-Furnished,1,2,14500000,1,Andheri East Mumbai,412
15,Furnished,1,2,25500000,2,Andheri East Mumbai,720
16,Furnished,1,2,15500000,2,Andheri East Mumbai,720
17,Furnished,1,2,21000000,3,Andheri East Mumbai,950
18,Furnished,1,2,30000000,2,Andheri East Mumbai,720
19,Unfurnished,1,2,8000000,4,Andheri East Mumbai,500
20,Unfurnished,1,3,23500000,3,Andheri East Mumbai,850
21,Furnished,1,1,8000000,1,Andheri East Mumbai,720
22,Semi-Furnished,1,2,18500000,1,Andheri East Mumbai,620
23,Unfurnished,1,3,27000000,3,Andheri East Mumbai,1100
24,Semi-Furnished,1,2,21000000,2,Andheri East Mumbai,1105
25,Semi-Furnished,1,2,18500000,2,Andheri East Mumbai,640
26,Semi-Furnished,3,4,37000000,4,Andheri East Mumbai,720
27,Semi-Furnished,1,2,12500000,1,Andheri East Mumbai,450
28,Semi-Furnished,2,2,18500000,2,Andheri East Mumbai,750
29,Semi-Furnished,1,2,26000000,2,Andheri East Mumbai,800
30,Furnished,1,2,29500000,3,Andheri East Mumbai,889
31,Semi-Furnished,1,2,27000000,2,Andheri East Mumbai,743
32,Semi-Furnished,1,2,15000000,2,Andheri East Mumbai,630
33,Unfurnished,1,1,12500000,1,Andheri East Mumbai,470
34,Unfurnished,1,1,13500000,1,Andheri East Mumbai,720
