zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
0,2 BHK Apartment for Sale in Andheri East Mumbai,682 sqft,Lok Yamuna,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.80 Cr 
1,2 BHK Apartment for Sale in Andheri East Mumbai,670 sqft,,Ready to Move,Resale,Furnished,,2,2 Cr 
2,4 BHK Apartment for Sale in Andheri East Mumbai,1499 sqft,Lilium Lantana,Ready to Move,Resale,Furnished,,4,6.05 Cr 
3,1 BHK House for Sale in Andheri East Mumbai,430 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,1,95 Lac
4,3 BHK Apartment for Sale in Andheri East Mumbai,900 sqft,,Ready to Move,New Property,Unfurnished,1 Covered,3,2.70 Cr 
5,2 BHK Apartment for Sale in Andheri East Mumbai,700 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.35 Cr 
6,1 BHK Apartment for Sale in Andheri East Mumbai,270 sqft,,Ready to Move,Resale,Unfurnished,,2,60 Lac 
7,2 BHK Apartment for Sale in Andheri East Mumbai,630 sqft,Akruti Orchid Park,Ready to Move,Resale,Semi-Furnished,,2,1.70 Cr 
8,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,,2,1.35 Cr 
9,4 BHK Apartment for Sale in Andheri East Mumbai,,Oberoi Prisma,Ready to Move,Resale,Semi-Furnished,,5,7 Cr 
10,1 BHK Apartment for Sale in Andheri East Mumbai,486 sqft,Gopeshwar Apartments,Ready to Move,Resale,Unfurnished,,2,1.35 Cr 
11,1 BHK Apartment for Sale in Andheri East Mumbai,,Siddhivinayak Apartment,Ready to Move,Resale,,,,55 Lac 
12,2 BHK Apartment for Sale in Andheri East Mumbai,827 sqft,,Ready to Move,Resale,Unfurnished,1 Open,2,1.85 Cr 
13,2 BHK Apartment for Sale in Andheri East Mumbai,,Blue Meadows,Ready to Move,Resale,Furnished,1 Open,2,1.89 Cr 
14,1 BHK Apartment for Sale in Andheri East Mumbai,412 sqft,Starwing Kaatyayni Heights,Ready to Move,Resale,Semi-Furnished,,2,1.45 Cr 
15,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,,2,2.55 Cr 
16,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,1 Open,2,1.55 Cr 
17,3 BHK Apartment for Sale in Andheri East Mumbai,950 sqft,Poonam Sagar Chsl,Ready to Move,Resale,Furnished,,2,2.10 Cr 
18,2 BHK Apartment for Sale in Andheri East Mumbai,,Aakruti Atria,Ready to Move,Resale,Furnished,"1 Covered,",2,3 Cr 
19,4 BHK House for Sale in Andheri East Mumbai,500 sqft,,Ready to Move,Resale,Unfurnished,,2,80 Lac 
20,3 BHK Apartment for Sale in Andheri East Mumbai,850 sqft,,Ready to Move,Resale,Unfurnished,,3,2.35 Cr 
21,1 BHK Apartment for Sale in Andheri East Mumbai,,Ashish Apartment,Ready to Move,Resale,Furnished,,1,80 Lac 
22,1 BHK Apartment for Sale in Andheri East Mumbai,620 sqft,Joy Callista,Ready to Move,Resale,Semi-Furnished,,2,1.85 Cr 
23,3 BHK Apartment for Sale in Andheri East Mumbai,1100 sqft,Shree Vastu Enclave,Ready to Move,Resale,Unfurnished,,3,2.70 Cr 
24,2 BHK Apartment for Sale in Andheri East Mumbai,1105 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.10 Cr 
25,2 BHK Apartment for Sale in Andheri East Mumbai,640 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.85 Cr 
26,4 BHK Apartment for Sale in Andheri East Mumbai,,Kanakia Rainforest,Ready to Move,Resale,Semi-Furnished,3 Covered,4,3.70 Cr 
27,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,Swapnalok Apartments,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.25 Cr 
28,2 BHK Apartment for Sale in Andheri East Mumbai,750 sqft,,Ready to Move,Resale,Semi-Furnished,2 Open,2,1.85 Cr 
29,2 BHK Apartment for Sale in Andheri East Mumbai,800 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.60 Cr 
30,3 BHK Apartment for Sale in Andheri East Mumbai,889 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.95 Cr 
31,2 BHK Apartment for Sale in Andheri East Mumbai,743 sqft,Green Woods Chkala,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.70 Cr 
32,2 BHK Apartment for Sale in Andheri East Mumbai,630 sqft,Harmony Apartments Co Operative Housing Society Ltd,Ready to Move,Resale,Semi-Furnished,,2,1.50 Cr 
33,1 BHK Apartment for Sale in Andheri East Mumbai,470 sqft,Dheeraj Darshan,Ready to Move,Resale,Unfurnished,,1,1.25 Cr 
34,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,1,1.35 Cr 
35,2 BHK Apartment for Sale in Andheri East Mumbai,760 sqft,,Ready to Move,Resale,Unfurnished,,2,2.45 Cr 
36,1 BHK Apartment for Sale in Andheri East Mumbai,380 sqft,,Ready to Move,Resale,Unfurnished,,2,1.10 Cr 
37,2 BHK Builder Floor for Sale in Andheri East Mumbai,,Jumbo Darshan,Ready to Move,Resale,Semi-Furnished,,2,2.10 Cr 
38,1 BHK Apartment for Sale in Andheri East Mumbai,325 sqft,Mahakali CHS,Ready to Move,Resale,Unfurnished,,1,69 Lac 
39,2 BHK Apartment for Sale in Andheri East Mumbai,572 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,1,1.55 Cr 
40,4 BHK Penthouse for Sale in Andheri East Mumbai,4218 sqft,,Ready to Move,Resale,Semi-Furnished,5 Covered,5,13.25 Cr 
